PERMNO,HTICK,HCOMNAM,HTSYMBOL,CUSIP,BEGDAT,ENDDAT
31309,,DOMINION STEEL & COAL LTD,,25748910,1962-07-02,1969-04-03
31310,,E TRON CORP,ETON,26925010,1984-06-12,1986-02-11
31317,,DOMINION TEXTILE LTD,,25754310,1962-07-02,1969-12-04
31318,,E Z EM INC,EZEM,26930540,1983-10-20,2008-04-02
31325,,DOMTAR INC,DTC,25756110,1962-07-02,2007-03-06
31326,,E Z PAINTER CORP,,26932510,1972-12-14,1974-11-01
31333,,DORR OLIVER INC,,25836310,1962-07-02,1979-05-31
31341,,CONSTAR INTERNATIONAL INC,,21036R10,1962-07-02,1992-10-21
31342,,EAGLE COMPUTER INC,EGLC,26947210,1983-06-15,1985-11-27
31368,,DRAPER CORP,,26199190,1962-07-02,1967-06-30
31369,,EAGLE EXPLORATION CO CO,EGLE,26951010,1980-09-24,1984-07-23
31376,,DRIVER HARRIS CO,DRH,26209320,1962-07-02,2003-07-25
31377,,EAGLE LTD,,26968910,1981-04-28,1981-04-29
31384,,DRUG FAIR INC,,26218810,1962-07-02,1981-05-29
31385,,EAGLE CORP LTD,EGCLY,27968940,1981-04-28,1989-10-17
31392,,DRILLING & EXPL CO,,26299090,1962-07-02,1963-10-24
31393,,EAGLE TELEPHONICS INC,EGLAC,27000510,1983-10-12,1990-08-08
31405,,DUNLOP HOLDINGS LTD,,26572020,1962-07-02,1985-11-08
31406,,EALING CORP,EALG,27004710,1981-06-18,1986-12-22
31413,,DURHAM HOSIERY MLS,,26672320,1962-07-02,1962-07-13
31414,,E R L Y INDUSTRIES INC,ERLYE,26883910,1972-12-14,1998-09-28
31421,,DURO TEST CORP,,26686710,1962-07-02,1988-03-25
31422,,EARTH SCIENCES INC,ESCIC,27031220,1972-12-14,1999-07-14
31448,,DUVAL CORP,,26709310,1962-07-02,1968-09-09
31449,,EAST WEST MED PRODS INC,,27580010,1972-12-14,1973-12-10
31456,,DYNCORP,,26816210,1962-07-02,1988-09-09
31457,,WORKSAFE INDUSTRIES INC,WRKSE,98138R10,1975-04-04,2000-11-29
31464,,DYNAMICS CORP AMER,,26803910,1962-07-02,1997-10-16
31465,,EASTMET CORP,EMEQE,27748810,1972-12-14,1986-07-22
31472,,ENTRADE INC,,29382L10,1962-07-02,2001-10-10
31473,,EASTOVER CORP,EASTS,27777810,1973-03-02,1995-01-03
31480,EML,EASTERN CO,EML,27631710,1962-07-02,2024-12-31
31481,,EATON FINANCIAL CORP,EATO,27791010,1983-09-15,1989-03-15
31499,,EASTERN FREIGHT WAYS INC,,27644310,1962-07-02,1975-06-09
31500,,EATON VANCE CORP,EV,27826510,1972-12-14,2021-02-26
31501,,EASTERN CAN INC,,27699090,1962-07-02,1968-06-17
31528,,EASTERN STATES CORP,,27706510,1962-07-02,1969-06-25
31529,,EBERLINE INSTRUMENT CORP,,27867710,1972-12-14,1979-04-11
31536,,ECHLIN INC,,27874910,1962-07-02,1998-07-09
31537,,ECHO OIL CORP,,27875610,1976-01-12,1979-04-20
31544,,MEDALLION GROUP INC,,58402510,1962-07-02,1979-12-31
31552,,EDO CORP,EDO,28134710,1962-07-02,2007-12-20
31553,,ECOLOGY INC,,27888610,1972-12-14,1973-06-07
31560,,ELCO INVT CO,,28499190,1962-07-02,1964-04-24
31561,,ECONETICS INC,,27890010,1972-12-14,1974-12-20
31579,,ELECTRO AUDIO DYNAMICS INC,,28505510,1962-07-02,1986-05-09
31580,,ECONO THERM ENERGY SYS CORP,ETHM,27890220,1980-11-18,1985-08-02
31587,,ELECTROGRAPHIC CORP,,28533510,1962-07-02,1980-09-18
31595,,E A C INDUSTRIES INC,,26822610,1962-07-02,1991-04-26
31596,,EDGCOMB STEEL NEW ENGLAND INC,ESNE,27983940,1984-05-18,1986-01-22
31608,,ELECTRONIC RESEARCH ASSOC INC,ERAI,28582140,1962-07-02,1990-04-30
31609,,EDGEWATER CORP,,28028110,1975-08-01,1976-09-09
31616,,ELECTRONIC SPECIALTY CO,,28583910,1962-07-02,1969-08-01
31617,,EDGEWOOD FILMS INC,EDGE,28036710,1984-02-24,1986-05-12
31624,,ELECTRONIC COMMUNICATIONS INC,,28599190,1962-07-02,1968-09-12
31625,,E S E L C O INC,EDSE,26907010,1980-02-25,1998-05-29
31632,,ELECTRONICS CORP AMER,,28606510,1962-07-02,1986-10-08
31640,,EMENEE CORP,,29087510,1962-07-02,1973-04-30
31659,,EMERY AIR FGHT CORP,,29110110,1962-07-02,1989-04-06
31667,,EMERTRON INC,,29199190,1962-07-02,1962-11-30
31668,EDUC,EDUCATIONAL DEVELOPMENT CORP,EDUC,28147910,1972-12-14,2024-12-31
31675,,ERIE FORGE & STL CORP,,29524510,1962-07-02,1969-07-02
31676,,EDUCATOR & EXECUTIVE CO,,28151520,1972-12-14,1973-07-12
31683,,ERO INDUSTRIES INC,,29601110,1962-07-02,1988-07-14
31691,ESP,ESPEY MANUFACTURING & ELCTRS COR,ESP,29665010,1962-07-02,2024-12-31
31692,,EDUDATA CORP,EDTAC,28164210,1984-07-30,1987-12-07
31704,,ESQUIRE INC,,29665910,1962-07-02,1984-02-27
31705,,EDWARDS INDS INC,EDWRQ,28176710,1972-12-14,1985-09-18
31712,,ESQUIRE RADIO & ELECTRONICS INC,,29667710,1962-07-02,1994-09-01
31713,,EGO RESOURCES LTD,EGOR,28233810,1981-06-22,1986-05-22
31720,,ESSEX CHEMICAL CORP,,29669510,1962-07-02,1988-10-05
31721,,EIKONIX CORP,KONX,28256010,1981-12-02,1985-05-31
31739,,EUREKA CORP,,29899090,1962-07-02,1963-01-31
31740,,EL CHICO CORP,,28287510,1972-12-14,1977-09-30
31747,,EVANS ARISTOCRAT INDS INC,,29910110,1962-07-02,1982-12-22
31748,,EL CHICO RESTAURANTS INC,ELCH,28287910,1983-06-30,1998-01-20
31755,,F D I INC,,30241910,1962-07-02,1978-08-15
31756,,EL DORADO INTL INC,,28314510,1973-04-18,1981-01-23
31763,,FABERGE INC,,30280810,1962-07-02,1984-08-23
31764,,EL PASO ELECTRIC CO,ELPAQ,28367710,1972-12-14,1995-06-21
31771,,FABREX CORP,,30299190,1962-07-02,1963-01-07
31772,,ELAN AIR CORP,,28412710,1981-02-12,1982-03-09
31798,,FAIRMOUNT CHEMICAL CO INC,FMTC,30547710,1962-07-02,1991-07-03
31799,,ELAN PLC,ELN,28413120,1984-01-26,2013-12-18
31800,,FALCON SEABOARD INC,,30608410,1962-07-02,1979-02-23
31801,,ELAN PHARMACEUTICAL RESH CORP,ELAN,28413210,1982-01-19,1984-02-02
31819,,FANNY FARMER CANDY SHOPS INC,,30717110,1962-07-02,1980-01-25
31820,,ELBA SYSTEMS CORP,,28420910,1972-12-14,1976-10-29
31827,,FARGO OILS LTD,,30799090,1962-07-02,1968-06-10
31835,,FEDERALS INC,,31404510,1962-07-02,1972-08-14
31836,,ELCO INDUSTRIES INC,ELCN,28442010,1976-08-16,1995-10-20
31843,,FEDERATED PURCHASER INC,FEDP,31426110,1962-07-02,1992-07-13
31844,,ELDER BEERMAN STORES CORP,ELDR,28446110,1972-12-14,1987-08-27
31851,,FELMONT OIL CORP,,31438710,1962-07-02,1984-06-18
31852,,ELDON INDUSTRIES INC,,28458710,1972-12-14,1990-10-29
31878,,ORION PICTURES CORP,,68628510,1962-07-02,1992-10-22
31879,,ELDORADO BANCORP CA,,28467910,1981-03-18,1997-06-06
31886,,FINANCIAL GENERAL BANKSHARES INC,,31752810,1962-07-02,1982-08-10
31887,,ELDORADO ELECTRODATA CORP,,28468210,1972-12-14,1973-11-27
31894,,FIRST NATIONAL RLTY & CONSTR COR,,33572910,1962-07-02,1973-02-28
31895,,ELDORADO GENERAL CORP,,28468610,1972-12-14,1979-02-23
31907,,FIRST SAVINGS & LOAN SHARES INC,,33619810,1962-07-02,1982-05-27
31908,,ELDORADO FINANCIAL GROUP INC,ELDGE,28468510,1981-07-14,1987-06-23
31915,,FISCHER & PORTER CO,,33769310,1962-07-02,1994-08-08
31916,,ELDORADO MOTOR CORP,EDMC,28470510,1984-01-06,1989-02-13
31923,,FIRTH STERLING INC,,33799190,1962-07-02,1967-12-21
31924,,ELDREDGE & CO INC,,28472210,1972-12-14,1973-03-12
31931,,FISHMAN M H INC,,33811710,1962-07-02,1979-06-28
31932,,ELECTRIC CAR CO AMER INC,,28486610,1980-06-30,1982-04-26
31958,,FLAVORLAND INDUSTRIES INC,,33885910,1962-07-02,1977-03-15
31959,,ELECTRIC REGULATOR CORP,,28500610,1972-12-14,1973-06-22
31966,,FORD MOTOR CO CANADA LTD,,34535210,1962-07-02,1995-09-29
31967,,ELECTRIC TRANSPORTATION SYS INC,,28501310,1980-01-18,1982-04-22
31974,,FOREST CITY REALTY TRUST INC,FCEA,34560510,1962-07-02,2018-12-07
31975,,ELECTRO BIOLOGY INC,EBII,28506010,1981-02-18,1988-01-04
31982,,FOTOCHROME INC,,35038810,1962-07-02,1966-08-11
31983,,ELECTRO CATHETER CORP,,28506910,1974-06-19,1997-08-27
31990,,FRESNILLO CO,,35806410,1962-07-02,1977-09-02
31991,,ELECTRO CRAFT CORP,,28508310,1972-12-14,1977-10-11
32002,,FRIENDLY FROST INC,,35847810,1962-07-02,1983-07-21
32003,,ELECTRO KINETIC SYS INC,EKSIA,28511410,1984-02-03,1992-06-08
32010,,FRYE INDUSTRIES INC,,35951010,1962-07-02,1971-11-04
32011,,ELECTRO NITE CO,,28517310,1972-12-14,1979-10-26
32029,,FULLER G A CO,,35999090,1962-07-02,1965-07-08
32030,,ELECTRO NUCLEONICS INC,ENUC,28519110,1972-12-14,1989-01-30
32037,,G F CORP,,36161410,1962-07-02,1990-12-04
32038,,ELECTRO PROTECTIVE CORP AMER,,28521510,1972-12-14,1981-12-31
32045,,G F INDUSTRIES INC,,36168410,1962-07-02,1970-07-16
32046,,ELECTRO RENT CORP,ELRC,28521810,1980-04-03,2016-08-10
32053,,G S C ENTERPRISES INC,,36226410,1962-07-02,1977-10-24
32054,,ELECTRO SCIENTIFIC INDS INC,ESIO,28522910,1983-10-18,2019-02-01
32061,,G T I CORP,GGTI,36236010,1962-07-02,1998-11-16
32062,ELSE,ELECTRO SENSORS INC,ELSE,28523310,1981-06-09,2024-12-31
32088,,GALE INDUSTRIES INC,,36320810,1962-07-02,1969-06-12
32089,,FUTURE COMMUNICATIONS INC,FCMI,36090610,1972-12-14,1993-08-30
32096,,GARAN INC,GAN,36480210,1962-07-02,2002-09-04
32097,,ELECTROMAGNETIC INDUSTRIES INC,,28538910,1972-12-14,1974-03-19
32109,,GATINEAU PWR CO,,36785690,1962-07-02,1963-09-06
32110,,E M S TECHNOLOGIES INC,ELMG,26873N10,1972-12-14,2011-08-22
32117,,GENERAL ALLOYS CO,,36876610,1962-07-02,1973-05-07
32118,,ELECTROMEDICS INC,ELMD,28541040,1981-05-19,1994-04-26
32125,,GENERAL BATTERY CORP,,36914010,1962-07-02,1973-05-04
32126,,ELECTRONIC ARRAYS INC,,28551110,1973-10-05,1978-12-07
32133,,GENERAL BUILDERS CORP,GBDC,36928010,1962-07-02,1994-01-21
32134,,ELECTRONIC CONTROL SYSTEM,ELCS,28562310,1978-09-01,1991-02-14
32141,,G D V INC,GDVI,36157810,1962-07-02,1983-09-12
32142,,ELECTRONIC FINANCIAL SYS INC,EFSAE,28570610,1983-05-25,1985-02-06
32168,,GENERAL ELECTRIC & ENGH ELEC COS,,36959520,1962-07-02,1969-12-04
32169,,ELECTRONIC MAIL CORP AMER,EMCA,28574210,1982-08-17,1988-08-25
32176,,GENERAL GAS CORP,,36999490,1962-07-02,1964-07-30
32177,,ELECTRONIC MODULES CORP,EMOD,28578510,1973-06-12,1985-04-02
32184,,GENERAL RESOURCES CORP DE,,37069810,1962-07-02,1976-05-20
32192,,GENUNGS INC,,37299090,1962-07-02,1968-04-22
32193,,ELECTRONIC TABULATING CORP,ETCO,28585710,1976-05-04,1984-06-15
32205,,GIANT FOOD INC,,37447810,1962-07-02,1998-10-30
32206,,ELECTRONIC THEATRE RESTAURANTS,ETRC,28586510,1982-09-09,1983-12-13
32213,,GIANT YELLOWKNIFE MINES LTD,,37458610,1962-07-02,1991-07-24
32221,,GILBERT A C CO,,37531610,1962-07-02,1966-05-19
32222,,E M C E E BROADCAST PRODS INC,ECIN,26865010,1980-11-18,2002-10-28
32248,,GILCHRIST CO,,37551410,1962-07-02,1965-09-09
32249,,SPORT OF KINGS INC,ODDSE,84891710,1983-08-02,1993-06-17
32256,,GLENMORE DISTILLERIES CO,,37869420,1962-07-02,1991-08-16
32264,,GLOBE SECURITY SYSTEMS INC DE,,37954010,1970-11-23,1974-07-26
32265,,ELI SECURITIES CO,,28655610,1972-12-14,1978-01-27
32272,,GLOBE UNION INC,,37956810,1962-07-02,1978-10-10
32273,,ELIAS BROTHERS RESTAURANTS INC,,28656010,1972-12-14,1981-12-14
32280,,GLORAY KNITTING MLS INC,,37960410,1962-07-02,1968-06-24
32281,,E TOWN CORP,,26924210,1972-12-14,2000-11-29
32299,,GOLDFIELD CORP,GV,38137010,1962-07-02,2020-12-29
32300,,ELKINS SINN CORP,,28780010,1972-12-14,1976-10-04
32301,,GOODWAY INC,,38247810,1962-07-02,1972-10-03
32302,,ELLIS BANKING CORP,ELIS,28866810,1972-12-14,1984-03-16
32328,,GORDON JEWELRY CORP,,38274810,1962-07-02,1989-06-28
32329,,ELLMANS INC,ELLM,28905210,1972-12-14,1985-05-24
32336,,GORHAM CORP,,38299190,1962-07-02,1967-11-06
32337,,ELPAC INC DE,,29015610,1972-12-14,1976-09-01
32344,,GRAY MANUFACTURING CO,,38937010,1962-07-02,1975-03-04
32352,,GREAT AMERICAN INDUSTRIES INC,,38985630,1962-07-02,1985-06-17
32360,,GREAT BASINS PETE CO,,39013610,1962-07-02,1982-08-17
32361,,EMCOR PETROLEUM INC,EMTH,29084410,1980-03-21,1985-09-25
32379,,GREAT LAKES CHEM CORP,GLK,39056810,1962-07-02,2005-07-01
32380,,EMERSONS LTD,,29109210,1972-12-14,1976-04-07
32387,,GREAT LAKES REC CO,,39074810,1962-07-02,1981-01-21
32388,,EMERY ENERGY INC,EMRY,29116410,1981-03-12,1986-09-26
32395,,GREAT WESTN PRODUCERS,,39199090,1962-07-02,1966-06-09
32396,,EMETT & CHANDLER COS INC,EMCC,29120510,1972-12-14,1986-05-15
32408,,GREER HYDRAULICS INC,,39744210,1962-07-02,1978-08-30
32409,,EMONS INDUSTRIES INC,EMONQ,29157410,1972-12-14,1985-02-06
32416,,GRIESEDIECK CO,,39813610,1962-07-02,1976-06-30
32417,,EMPI INC,EMPI,29158610,1980-06-16,1999-08-31
32424,,GROCERY STORE PRODS CO,,39873010,1962-07-02,1971-03-24
32425,,EMPIRE AIRLINES INC,EAIR,29159310,1980-05-08,1986-02-04
32432,,GRIDOIL FREEHOLD LEASES LTD,,39899090,1962-07-02,1963-02-21
32433,,EMPIRE APPAREL STORES INC,,29159610,1972-12-14,1973-06-11
32440,,GROW GROUP INC,,39982010,1962-07-02,1995-06-05
32441,,EMPIRE EQUITIES INC,,29165010,1972-12-14,1974-10-02
32459,,GUARDSMAN PRODUCTS INC,,40148910,1962-07-02,1996-04-04
32460,,EMPIRE FIRE & MARINE INS CO,,29167710,1972-12-14,1979-05-23
32467,,GUERDON INDUSTRIES INC,,40158610,1962-07-02,1972-09-29
32468,,EMPIRE GENERAL CORP,,29173110,1972-12-14,1978-05-01
32475,,PARAMOUNT COMMUNICATIONS INC,,69921610,1962-07-02,1994-07-07
32476,,EMPIRE NATIONAL BK MIDDLETOWN NY,,29189810,1972-12-14,1980-09-22
32483,,GULF AMERICAN CORP,,40211810,1962-07-02,1969-02-24
32484,,EMPIRE OIL & GAS CO,EMPOQ,29200910,1980-06-24,1983-09-02
32491,,GULF CANADA CORP,,40218L10,1962-07-02,1987-06-30
32492,,EMPIRE PENCIL CORP,EPCO,29202010,1980-09-29,1983-03-01
32504,,GULTON INDUSTRIES INC,,40278410,1962-07-02,1986-03-24
32512,,H & B AMERICA CORP,,40388410,1962-07-02,1970-09-17
32513,,EMPLOYEE BENEFITS INC,,29216410,1978-04-25,1980-12-11
32520,,HALCO PRODUCTS CORP NY,,40536310,1962-07-02,1979-10-31
32521,,EMPLOYERS CASUALTY CO,ECRC,29217310,1972-12-14,1992-09-24
32539,,HAMILTON ELECTRO CORP,,40799090,1962-07-02,1962-11-20
32540,,EMULEX CORP,ELX,29247520,1981-03-26,2015-05-04
32547,,HARDEMAN PAUL INC OLD,,41199390,1962-07-02,1964-04-30
32548,,S O R L AUTO PARTS INC,SORL,78461U10,1983-08-23,2020-05-14
32555,,HARN CORP,,41330610,1962-07-02,1966-12-22
32556,,ENCINO ENERGY & DEV CORP,EEDC,29253910,1981-11-24,1984-08-22
32563,,HARNISCHFEGER INDUSTRIES INC,,41334510,1962-07-02,1999-12-08
32564,,HIRSCHHORN DON INC,,43355210,1972-12-14,1977-01-14
32571,,H R T INDUSTRIES INC,,40426920,1962-07-02,1985-04-19
32572,,ENCORE INDUSTRIES INC,ENCRQ,29255810,1980-02-14,1984-01-09
32598,,HARTFORD ELEC LT CO,,41650690,1962-07-02,1966-07-14
32599,,ENDATA INC,DATA,29257310,1983-06-02,1987-10-30
32600,,HARVEY GROUP INC,,41766810,1962-07-02,1995-06-16
32619,,HASTINGS MANUFACTURING CO,HMF,41839810,1962-07-02,2003-11-18
32620,,ENDOTRONICS INC,ENDQC,29264410,1983-07-21,1988-04-22
32627,,HAVANA LITHOGRAPHING CO,,41923610,1962-07-02,1962-12-06
32628,,ENERCO INC,EECOC,29265H10,1976-09-22,1987-05-06
32635,,HAVEN INDS INC,,41936210,1962-07-02,1963-04-30
32636,,ENERGY CONVERSION DEVICES INC,ENER,29265910,1972-12-14,2012-02-23
32643,,HEBREW NATIONAL KOSHER FOODS INC,,42252410,1962-07-02,1969-04-03
32644,,ENERGY DYNAMICS INTL CORP,EDIC,29266510,1981-03-30,1983-05-03
32651,HL,HECLA MINING CO,HL,42270410,1962-07-02,2024-12-31
32652,,ENERGY FACTORS INC,EFAC,29266710,1983-10-25,1988-06-07
32678,HEI,HEICO CORP NEW,HEI,42280610,1962-07-02,2024-12-31
32679,,ENERGY OPTICS INC,EOPT,29270410,1981-03-05,1986-05-12
32686,,HELENA RUBINSTEIN INC,,42320010,1962-07-02,1973-09-05
32687,,FIELDPOINT PETROLEUM CORP,FPP,31657010,1981-01-13,2017-11-24
32694,,HELI COIL CORP,,42325410,1962-07-02,1970-05-21
32695,,ENERGY RESERVES GROUP INC,ERGS,29271110,1973-06-07,1985-01-04
32707,HP,HELMERICH & PAYNE INC,HP,42345210,1962-07-02,2024-12-31
32708,,ENERGY RESERVE INC,ERESE,29271210,1975-10-14,1985-08-09
32715,,REDLAW INC,,75763310,1962-07-02,1979-07-13
32716,,CENTRUM INDUSTRIES INC,CIIIC,15640H10,1981-04-01,1992-07-23
32723,,HIGBIE MANUFACTURING CO,,42954210,1962-07-02,1972-03-02
32724,,ENERGY SCIENCE CORP,ESCGE,29271810,1983-05-09,1984-09-13
32731,,HIGHWAY TRAILER INDS INC,,43125410,1962-07-02,1966-02-21
32732,,ENERGY SHED INC,,29272010,1980-12-02,1982-06-18
32758,,HILLS SUPERMARKETS INC,,43169490,1962-07-02,1965-01-29
32759,,ENERGY SOURCES INC,ENGSQ,29272210,1978-08-07,1983-08-30
32766,,HOE R & CO INC,,43438010,1962-07-02,1969-07-01
32774,,HOFFMAN INTL CORP,,43450690,1962-07-02,1966-08-11
32775,,ENERGY SYSTEMS HOLDINGS LTD,ESHYE,29273220,1982-11-12,1984-02-17
32782,,HOFMANN INDUSTRIES INC,,43456010,1962-07-02,1990-01-22
32783,,ENERGY SYSTEMS INC,ENSI,29273310,1981-07-02,1983-10-14
32790,,HOLLINGER ARGUS LTD,,43556010,1962-07-02,1982-03-01
32791,WFRD,WEATHERFORD INTERNATIONAL PLC,WFRD,G4883311,1972-12-22,2024-12-31
32803,DINO,H F SINCLAIR CORP,DINO,40394910,1962-07-02,2024-12-31
32804,,ENEX RESOURCES CORP CO,ENEX,29274420,1980-09-16,1998-07-07
32811,,HOLOPHANE INC,,43645210,1962-07-02,1971-12-15
32838,,HOLLY STORES INC,,43699090,1962-07-02,1965-02-01
32839,,ENGINEERING MEASUREMENTS CO,EMCO,29288010,1981-01-19,2001-01-02
32846,,HOLYOKE SHS INC,,43699290,1962-07-02,1967-08-21
32847,,ENERCAP CORP,ENPCD,29265C20,1979-12-07,1991-04-02
32854,,HOME OIL LTD,,43727210,1962-07-02,1979-12-20
32855,,ENERGY CLINIC CORP,,29291010,1980-07-03,1982-07-07
32862,,HOME OIL LTD,,43727220,1962-07-02,1979-12-20
32863,,ENERDINE INTERNATIONAL,,29291210,1980-10-24,1982-10-14
32870,HRL,HORMEL FOODS CORP,HRL,44045210,1962-07-02,2024-12-31
32889,,HORN & HARDART BAKING CO,,44048810,1962-07-02,1966-05-05
32890,,ENERGY ASSETS INTL CORP,EAIC,29291410,1980-09-23,1991-02-07
32897,,HANOVER DIRECT INC,HNV,41078330,1962-07-02,2004-11-16
32898,,ENERGY SOLUTIONS INC,ENSO,29291610,1981-04-20,1986-01-06
32918,,HOSKINS MANUFACTURING CO,,44102010,1962-07-02,1974-06-03
32926,,HOWELL INDUSTRIES INC,,44307310,1962-07-02,1997-08-13
32927,,ENERGRO INC,EGRO,29292210,1977-04-29,1985-07-17
32934,,HUBBELL INC,HUBA,44351010,1962-07-02,2015-12-23
32935,,ENERTECH INC,ENTKC,29292410,1981-07-06,1984-11-20
32942,HUBB,HUBBELL INC,HUBB,44351060,1962-07-02,2024-12-31
32943,,ENERGYNORTH INC,,29292510,1982-12-31,2000-11-08
32950,,HUDSON & MANHATTAN CORP,,44363610,1962-07-02,1972-05-19
32951,,PATENTS INTERNATIONAL OVERSEAS,,70310110,1972-12-14,1973-05-04
32969,,HUGHES & HATCHER INC,,44438410,1962-07-02,1977-09-28
32970,,ENER MARK CORP,ENMKE,29292710,1983-11-01,1989-07-13
32977,,HUDSON NATL INC,,44499090,1962-07-02,1966-06-30
32978,,ENERGETICS INC,EJTX,29292910,1983-06-21,1991-07-03
32985,,HUSKY OIL LTD,,44809610,1962-07-02,1987-04-29
32986,ATO,ATMOS ENERGY CORP,ATO,04956010,1983-12-28,2024-12-31
32993,,HYCON MANUFACTURING CO,,44861810,1962-07-02,1971-05-28
32994,,ENDO LASE INC,ENDLE,29293510,1984-01-17,1986-09-05
33005,,HYDROMETALS INC,,44900610,1962-07-02,1977-02-18
33006,,ENERTEC CORP,ENRCE,29293610,1984-07-23,1985-06-28
33013,,HYGRADE FOOD PRODS CORP,,44906010,1962-07-02,1976-04-02
33014,,ENGRAPH INC,ENGH,29330810,1972-12-14,1993-10-21
33021,,I H C INC,,44961610,1962-07-02,1972-05-04
33048,,I M C MAGNETICS CORP,,44968010,1962-07-02,1984-02-09
33049,,ENSUN CORP,ENSN,29359510,1983-06-15,1987-07-20
33056,,I N A CORP,,44974410,1962-07-02,1982-03-31
33057,,ENTENMANNS INC,,29362710,1976-05-14,1978-10-27
33064,,I T I CORP OHIO,,45048510,1962-07-02,1982-09-29
33065,,ENTERPRISE RADIO INC,,29379510,1981-02-03,1981-10-01
33072,,IMPERIAL CHEMICAL INDUSTRIES PLC,ICI,45270450,1962-07-02,2007-06-15
33073,,ENTERPRISE TECHNOLOGIES INC,ENTRQ,29379910,1981-05-18,1985-03-07
33080,,IMPERIAL GROUP PLC,,45282420,1962-07-02,1986-11-14
33081,,ENTERTAINMENT PUBLICATIONS INC,,29380710,1983-12-02,1988-12-15
33099,IMO,IMPERIAL OIL LTD,IMO,45303840,1962-07-02,2024-12-31
33100,,ENTERTAINMENT SYSTEMS INC,,29380810,1980-09-08,1982-04-12
33101,,IMPERIAL TOB CO CDA LTD,,45311010,1962-07-02,1969-12-04
33102,,ENTRE COMPUTER CTRS INC,ETRE,29382510,1983-12-06,1989-01-04
33128,,INDEPENDENT TEL CO,,45499190,1962-07-02,1964-03-31
33129,,ENTWISTLE CO,ENTW,29385710,1972-12-14,1989-06-29
33136,,I E H CORP,IEHC,44949K10,1962-07-02,1993-01-11
33137,,ENZON PHARMACEUTICALS INC,ENZN,29390410,1984-02-15,2016-05-19
33144,,INLAND CREDIT CORP,,45734410,1962-07-02,1975-01-10
33145,,ENVIRODYNE INDUSTRIES INC,ENVR,29403710,1972-12-14,1989-06-01
33152,,INTERCONTINENTAL INDUSTRS INC NV,,45857810,1962-07-02,1969-06-18
33153,,ENVIRONMENT ONE CORP,EONE,29405610,1972-12-14,1998-06-15
33160,,INTERNATIONAL HOLDINGS CORP,,45965010,1962-07-02,1975-12-19
33161,,ENVIRONMENTAL RESEARCH CORP,,29406510,1972-12-14,1975-06-20
33179,,INTERNATIONAL STRETCH PRODS INC,ISTPQ,46038010,1962-07-02,1985-08-19
33187,,INTERNATIONAL OIL & GAS CORP,,46099190,1962-07-02,1966-05-31
33188,,ENVIRONMENTAL TECTONICS CORP,ETC,29409210,1972-12-14,2009-05-29
33195,,INTERNATIONAL PRODS CORP,,46099390,1962-07-02,1966-07-26
33196,,CHANNEL AMERICA BROADCASTING INC,CATV,15891310,1977-04-29,1996-11-06
33208,,INVESTMENT PPTY BLDRS INC,,46143410,1962-07-02,1965-10-28
33209,ENZ,ENZO BIOCHEM INC,ENZ,29410010,1980-06-12,2024-12-31
33216,,INVESTORS FUNDING CORP NY,,46150610,1962-07-02,1974-08-28
33217,,EPCOM INC,,29410410,1981-09-28,1982-04-08
33224,,INVESTORS ROYALTY INC,,46175810,1962-07-02,1973-09-21
33225,,EPIC CORP,,29425210,1972-12-22,1973-06-08
33232,,IROQUOIS BRANDS LTD,,46334910,1962-07-02,1991-08-20
33233,,EPSCO INC,EPSC,29435310,1972-12-14,1988-10-03
33240,,IRVIN INDUSTRIES INC,,46360510,1962-07-02,1980-04-30
33241,,EPSILON DATA MANAGEMENT INC,EPSI,29437010,1984-01-18,1990-08-20
33259,,JEANNETTE CORP,,47221410,1962-07-02,1978-07-26
33260,,EQUATORIAL COMMUNICATIONS CO,EQUA,29441010,1983-09-13,1987-12-10
33267,,JETRONIC INDUSTRIES INC,,47717810,1962-07-02,2000-05-17
33268,,EQUESTRIAN CENTERS AMERICA INC,EQCAQ,29441510,1972-12-14,1984-10-16
33275,,JUPITER INDUSTRIES INC,,48205810,1962-07-02,1985-10-03
33276,,EQUINETICS INC,EQNT,29443310,1981-10-28,1984-07-19
33283,,KAISER INDUSTRIES CORP,,48306210,1962-07-02,1980-03-21
33284,,EQUINOX SOLAR INC,EQIX,29443520,1980-09-29,1987-06-23
33291,,KALVEX INC DE,,48349410,1962-07-02,1976-01-19
33292,,EQUIPMENT COMPANY AMER,ECOAQ,29443810,1972-12-14,1991-05-08
33304,,KATZ DRUG CO,,48609810,1962-07-02,1970-12-31
33305,,EQUITABLE BANCORP,EBNC,29444110,1972-12-14,1990-01-17
33312,,SUNAMERICA INC,,86693010,1962-07-02,1998-12-31
33313,,EQUITABLE GENERAL CORP,,29450110,1972-12-14,1979-01-11
33320,,KAVANAU REAL EST TR,,48633210,1962-07-02,1976-05-21
33321,,EQUITABLE OF IOWA COMPANIES,,29451030,1972-12-14,1997-10-24
33339,,KAWECKI CHEM CO,,48640490,1962-07-02,1968-10-15
33340,,EQUITABLE OF IOWA COMPANIES,EQICA,29451020,1980-04-28,1992-04-30
33347,,BALFOUR MACLAINE CORP,,05845910,1962-07-02,1991-11-18
33348,,EQUITABLE SAVINGS & LN ASSN OR,,29456010,1972-12-14,1982-10-01
33355,,KAWNEER CO,,48699190,1962-07-02,1962-08-31
33363,,KIDDE INC,,49378210,1962-07-02,1987-11-09
